id,total_occupancy,total_bedrooms,total_bathrooms,home_type,summary,address,has_tv,has_kitchen,has_air_con,has_heating,has_internet,price,owner_id,latitude,longitude,available_from,available_until
1,5,3,4,mansion,Sed ante.,6892 Northland Trail,false,false,true,true,false,392.51,4,5.242598,-75.781831,09/06/2022,11/21/2022
2,2,3,4,shared,Donec semper sapien a libero. Nam dui.,9 High Crossing Lane,false,false,false,false,false,578.2,3,49.0337963,16.2983865,09/02/2022,11/17/2022
3,2,3,3,apartment,Pellentesque eget nunc.,697 Sommers Pass,false,true,true,false,false,374.21,5,44.3543084,4.0664945,09/21/2022,10/14/2022
4,5,4,4,apartment,Vivamus vel nulla eget eros elementum pellentesque.,1621 Laurel Point,true,false,false,false,false,463.36,1,44.150897,17.7905271,09/07/2022,10/21/2022
5,3,4,1,shared,Praesent blandit.,8 Holmberg Alley,true,true,false,true,true,389.08,4,2.7697259,-60.7126625,09/07/2022,12/23/2022
6,1,1,1,mansion,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",01121 Carberry Place,true,true,false,true,true,248.19,1,-26.360436,28.451357,09/02/2022,11/17/2022
7,5,5,2,mansion,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,73599 Cascade Circle,true,true,true,false,false,50.29,1,-7.003771,108.2257659,09/06/2022,10/09/2022
8,2,4,4,rv,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,6435 Talisman Circle,false,false,false,true,true,254.24,4,42.1333129,24.5376727,09/01/2022,11/08/2022
9,1,4,1,cabin,Curabitur gravida nisi at nibh.,7370 Jenna Pass,true,false,false,true,false,501.27,10,-17.0127475,48.571263,09/16/2022,11/11/2022
10,4,1,3,hotel,Nunc nisl.,657 Corscot Place,true,true,true,true,true,338.43,10,31.991961,112.03379,09/22/2022,10/10/2022
11,2,1,1,shared,Integer ac leo.,908 Stephen Terrace,false,false,true,true,false,875.22,3,51.2409432,33.2050521,09/05/2022,11/21/2022
12,4,2,3,rv,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,4211 Schmedeman Avenue,true,false,false,false,true,893.11,10,41.2914665,-8.270224,09/03/2022,10/17/2022
13,4,4,3,shared,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,61623 Surrey Place,true,false,true,true,false,437.52,5,-8.6847,122.2162,09/04/2022,12/25/2022
